kepid,nkoi,teff,radius,mass,rrmscdpp03p0,rrmscdpp06p0,stellar_type
7013649,0,6168,1.394,1.067,18.512,19.128,Sun-like
10794845,0,6398,1.16,1.17,21.324,18.317,Sun-like
5184732,0,5840,1.33,1.17,20.8,18.686,Sun-like
9702369,0,6431,1.38,1.27,20.498,18.208,Sun-like
7117178,0,5826,0.955,0.917,19.584,14.302,Sun-like
7101742,0,6394,1.447,1.161,21.355,17.272,Sun-like
10124866,0,5823,0.91,0.886,11.095,10.889,Sun-like
6047087,0,6189,1.34,1.16,18.858,15.053,Sun-like
6225718,0,6230,1.24,1.17,12.511,10.658,Sun-like
11029516,0,5838,0.942,0.9929,19.786,16.997,Sun-like
9760362,0,5861,0.865,0.957,18.508,17.479,Sun-like
8938364,0,5630,1.32,0.92,21.834,17.721,Sun-like
11713046,0,3952,0.544,0.5627,36.319,38.238,M-Dwarf
3634451,0,3304,0.221,0.201,52.798,63.745,M-Dwarf
4472430,0,5780,1.0,,21.332,20.629,Sun-like
10070754,0,6463,1.225,1.126,19.668,17.334,Sun-like
11393580,0,3993,0.596,0.5922,31.904,33.407,M-Dwarf
12266662,0,5915,1.085,0.845,21.262,16.931,Sun-like
11752083,0,6050,0.896,0.9794,18.203,15.273,Sun-like
7700968,0,5982,1.21,1.0,18.693,15.121,Sun-like
9025370,0,5667,0.978,0.863,16.011,14.509,Sun-like
10006140,0,6313,1.498,1.0849,21.381,18.321,Sun-like
6034108,0,5929,0.996,0.942,20.716,18.529,Sun-like
10655953,0,6594,1.26,1.26,22.441,20.53,Sun-like
